locus_tag	ftype	length_bp	gene	EC_number	COG	product
CNBKHAJB_03839	CDS	1581	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
CNBKHAJB_03840	CDS	1089	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
CNBKHAJB_03841	CDS	1416	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
CNBKHAJB_03842	CDS	597	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
CNBKHAJB_03843	CDS	1692				hypothetical protein
CNBKHAJB_03844	CDS	2166	schT		COG4771	Schizokinen transporter SchT
CNBKHAJB_03845	CDS	1338	cca		COG0617	Multifunctional CCA protein
CNBKHAJB_03846	CDS	576				hypothetical protein
CNBKHAJB_03847	CDS	633				hypothetical protein
CNBKHAJB_03848	CDS	414				hypothetical protein
CNBKHAJB_03849	CDS	1812				hypothetical protein
CNBKHAJB_03850	CDS	1629	nirS	1.7.2.1	COG2010	Nitrite reductase
CNBKHAJB_03851	CDS	567				Bacteriohemerythrin
CNBKHAJB_03852	CDS	372	nirC			Cytochrome c55X
CNBKHAJB_03853	CDS	1242	nirF			Protein NirF
CNBKHAJB_03854	CDS	1119	nirDL	4.1.1.111		Siroheme decarboxylase NirDL subunit
CNBKHAJB_03855	CDS	513	nirG	4.1.1.111		Siroheme decarboxylase NirG subunit
CNBKHAJB_03856	CDS	552	nirH	4.1.1.111		Siroheme decarboxylase NirH subunit
CNBKHAJB_03857	CDS	1233	nirJ			Pre-heme d1 synthase
CNBKHAJB_03858	CDS	879	cysG_3		COG0007	Siroheme synthase
CNBKHAJB_03859	CDS	1629	nirN	1.3.-.-		Dihydro-heme d1 dehydrogenase
CNBKHAJB_03860	CDS	861				hypothetical protein
CNBKHAJB_03861	CDS	1029				hypothetical protein
CNBKHAJB_03862	CDS	456				hypothetical protein
CNBKHAJB_03863	CDS	888	menA	2.5.1.74		1,4-dihydroxy-2-naphthoate octaprenyltransferase
CNBKHAJB_03864	CDS	1827				hypothetical protein
CNBKHAJB_03865	CDS	831	cntI			Pseudopaline exporter CntI
CNBKHAJB_03866	CDS	579				Bacteriohemerythrin
CNBKHAJB_03867	CDS	2073	rhlB_2	3.6.4.13		ATP-dependent RNA helicase RhlB
CNBKHAJB_03868	CDS	1506	selO	2.7.7.-	COG0397	Protein nucleotidyltransferase SelO
CNBKHAJB_03869	CDS	720	isoI	4.4.1.34		Isoprene-epoxide--glutathione S-transferase
CNBKHAJB_03870	CDS	348	ridA_2	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
CNBKHAJB_03871	CDS	1590	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
CNBKHAJB_03872	CDS	1473	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
CNBKHAJB_03873	CDS	1335	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
CNBKHAJB_03874	CDS	1434				hypothetical protein
CNBKHAJB_03875	CDS	675				Cyclic di-GMP binding protein
CNBKHAJB_03876	CDS	1497	der			GTPase Der
CNBKHAJB_03877	CDS	138				hypothetical protein
CNBKHAJB_03878	CDS	1245	bamB		COG1520	Outer membrane protein assembly factor BamB
CNBKHAJB_03879	CDS	672	yfgM		COG2976	Ancillary SecYEG translocon subunit
CNBKHAJB_03880	CDS	1281	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
CNBKHAJB_03881	CDS	1131	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
CNBKHAJB_03882	CDS	993	rodZ		COG1426	Cytoskeleton protein RodZ
CNBKHAJB_03883	CDS	1587				hypothetical protein
CNBKHAJB_03884	CDS	1161	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
CNBKHAJB_03885	CDS	432	ndk	2.7.4.6		Nucleoside diphosphate kinase
CNBKHAJB_03886	CDS	1416				hypothetical protein
CNBKHAJB_03887	CDS	1626		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
CNBKHAJB_03888	CDS	2010	rcsC_15	2.7.13.3		Sensor histidine kinase RcsC
CNBKHAJB_03889	CDS	702	gltR			Transcriptional regulatory protein GltR
CNBKHAJB_03890	CDS	1689	maeA	1.1.1.38	COG0281	NAD-dependent malic enzyme
CNBKHAJB_03891	CDS	207	iscX		COG2975	Protein IscX
CNBKHAJB_03892	CDS	459	decR		COG1522	DNA-binding transcriptional activator DecR
CNBKHAJB_03893	CDS	921				hypothetical protein
CNBKHAJB_03894	CDS	258				hypothetical protein
CNBKHAJB_03895	CDS	2193	dcp	3.4.15.5	COG0339	Dipeptidyl carboxypeptidase
CNBKHAJB_03896	CDS	369				hypothetical protein
CNBKHAJB_03897	CDS	120				hypothetical protein
CNBKHAJB_03898	CDS	1536	glrK	2.7.13.3	COG2205	Sensor histidine kinase GlrK
CNBKHAJB_03899	CDS	600				hypothetical protein
CNBKHAJB_03900	CDS	1374	glrR		COG2204	Transcriptional regulatory protein GlrR
CNBKHAJB_03901	CDS	138				hypothetical protein
CNBKHAJB_03902	CDS	1584				hypothetical protein
CNBKHAJB_03903	CDS	2397	iacT_6		COG4773	Iron and copper transporter IacT
CNBKHAJB_03904	CDS	927				hypothetical protein
CNBKHAJB_03905	CDS	690	estB	3.1.1.1	COG0400	Carboxylesterase 2
CNBKHAJB_03906	CDS	939				HTH-type transcriptional regulator
CNBKHAJB_03907	CDS	330	trxA_3		COG3118	Thioredoxin 1
CNBKHAJB_03908	CDS	1206				hypothetical protein
CNBKHAJB_03909	CDS	954		1.-.-.-	COG1052	Putative 2-hydroxyacid dehydrogenase
CNBKHAJB_03910	CDS	573				hypothetical protein
CNBKHAJB_03911	CDS	303				hypothetical protein
CNBKHAJB_03912	CDS	678	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
CNBKHAJB_03913	CDS	1305	thrC	4.2.3.1	COG0498	Threonine synthase
CNBKHAJB_03914	CDS	987	thrB	2.7.1.39	COG0083	Homoserine kinase
CNBKHAJB_03915	CDS	2478	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
CNBKHAJB_03916	CDS	1005				hypothetical protein
CNBKHAJB_03917	CDS	609				hypothetical protein
CNBKHAJB_03918	CDS	366	cheY		COG2201	Chemotaxis protein CheY
CNBKHAJB_03919	CDS	96				hypothetical protein
CNBKHAJB_03920	CDS	756				hypothetical protein
CNBKHAJB_03921	CDS	369				hypothetical protein
CNBKHAJB_03922	CDS	345				hypothetical protein
CNBKHAJB_03923	CDS	2310	mrcB		COG0744	Penicillin-binding protein 1B
CNBKHAJB_03924	CDS	2532	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
CNBKHAJB_03925	CDS	432				hypothetical protein
CNBKHAJB_03926	CDS	714	sfsA		COG1489	Sugar fermentation stimulation protein A
CNBKHAJB_03927	CDS	447	dksA_2		COG1734	RNA polymerase-binding transcription factor DksA
CNBKHAJB_03928	CDS	948	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
CNBKHAJB_03929	CDS	693	isoH	1.1.1.398		1-hydroxy-2-glutathionyl-2-methyl-3-butene dehydrogenase
CNBKHAJB_03930	CDS	1425	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
CNBKHAJB_03931	CDS	501	folK_1	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
CNBKHAJB_03932	CDS	795	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
CNBKHAJB_03933	CDS	867	panC	6.3.2.1	COG0414	Pantothenate synthetase
CNBKHAJB_03934	CDS	513				hypothetical protein
CNBKHAJB_03935	CDS	873			COG4413	Urea transporter
CNBKHAJB_03936	CDS	444	ytoQ			putative protein YtoQ
CNBKHAJB_03937	CDS	1326	uraA		COG2233	Uracil permease
CNBKHAJB_03938	CDS	627	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
CNBKHAJB_03939	CDS	936	speE_4	2.5.1.16		Polyamine aminopropyltransferase
CNBKHAJB_03940	CDS	663				hypothetical protein
CNBKHAJB_03941	CDS	912	czcD		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
CNBKHAJB_03942	CDS	276	frmR		COG1937	Transcriptional repressor FrmR
CNBKHAJB_03943	CDS	1212	prsE		COG0845	Type I secretion system membrane fusion protein PrsE
CNBKHAJB_03944	CDS	2304	hlyB_2			Alpha-hemolysin translocation ATP-binding protein HlyB
CNBKHAJB_03945	CDS	1416				hypothetical protein
CNBKHAJB_03946	CDS	2700	bepA_6	3.4.-.-		Beta-barrel assembly-enhancing protease
CNBKHAJB_03947	CDS	6582				hypothetical protein
CNBKHAJB_03948	CDS	714				hypothetical protein
CNBKHAJB_03949	tRNA	77				tRNA-Met(cat)
CNBKHAJB_03950	CDS	618				hypothetical protein
CNBKHAJB_03951	CDS	1851	rpoD		COG0568	RNA polymerase sigma factor RpoD
CNBKHAJB_03952	CDS	1758	dnaG	2.7.7.101	COG0358	DNA primase
CNBKHAJB_03953	CDS	450	yqeY		COG1610	putative protein YqeY
CNBKHAJB_03954	CDS	216	rpsU			Small ribosomal subunit protein bS21
CNBKHAJB_03955	CDS	1050	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
CNBKHAJB_03956	CDS	591	plsY	2.3.1.15	COG0344	putative glycerol-3-phosphate acyltransferase
CNBKHAJB_03957	CDS	372	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
CNBKHAJB_03958	CDS	498	folK_2	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
CNBKHAJB_03959	CDS	819	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
CNBKHAJB_03960	CDS	843	cnoX		COG3118	Chaperedoxin
CNBKHAJB_03961	CDS	1116	zapE_2		COG1485	Cell division protein ZapE
CNBKHAJB_03962	CDS	456				hypothetical protein
CNBKHAJB_03963	CDS	1380	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
CNBKHAJB_03964	CDS	1005	degS	3.4.21.107	COG0265	Serine endoprotease DegS
CNBKHAJB_03965	CDS	645	dsbA		COG1651	Thiol:disulfide interchange protein DsbA
CNBKHAJB_03966	CDS	987	srkA	2.7.11.1	COG2334	Stress response kinase A
CNBKHAJB_03967	CDS	1464				hypothetical protein
CNBKHAJB_03968	CDS	357				hypothetical protein
CNBKHAJB_03969	CDS	1395	hutF	3.5.3.13		Formimidoylglutamate deiminase
CNBKHAJB_03970	CDS	789	hutG	3.5.1.68		N-formylglutamate deformylase
CNBKHAJB_03971	CDS	729	PGdx	1.11.1.27	COG0678	Hybrid peroxiredoxin hyPrx5
CNBKHAJB_03972	CDS	252				hypothetical protein
CNBKHAJB_03973	CDS	861	purU_5	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
CNBKHAJB_03974	CDS	531				hypothetical protein
CNBKHAJB_03975	CDS	954	metR_2		COG0583	HTH-type transcriptional regulator MetR
CNBKHAJB_03976	CDS	420				hypothetical protein
CNBKHAJB_03977	CDS	1419	dnaB	5.6.2.3	COG0305	Replicative DNA helicase DnaB
CNBKHAJB_03978	CDS	966				hypothetical protein
CNBKHAJB_03979	CDS	576				hypothetical protein
CNBKHAJB_03980	CDS	654				hypothetical protein
CNBKHAJB_03981	CDS	213	rpmE		COG0254	Large ribosomal subunit protein bL31
CNBKHAJB_03982	CDS	2211	priA	5.6.2.4	COG1198	Replication restart protein PriA
CNBKHAJB_03983	CDS	576	ftsN			Cell division protein FtsN
CNBKHAJB_03984	CDS	114				hypothetical protein
CNBKHAJB_03985	CDS	519	hslV	3.4.25.2		ATP-dependent protease subunit HslV
CNBKHAJB_03986	CDS	1332	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
CNBKHAJB_03987	CDS	378				hypothetical protein
CNBKHAJB_03988	CDS	1860				hypothetical protein
CNBKHAJB_03989	CDS	2019				hypothetical protein
CNBKHAJB_03990	CDS	498	rraA		COG0684	Regulator of ribonuclease activity A
CNBKHAJB_03991	CDS	1614	mucR_2	2.7.7.65		Bifunctional diguanylate cyclase/cyclic di-GMP phosphodiesterase MucR
CNBKHAJB_03992	CDS	537				hypothetical protein
CNBKHAJB_03993	CDS	1944				hypothetical protein
CNBKHAJB_03994	CDS	1788				hypothetical protein
CNBKHAJB_03995	CDS	546	orn	3.1.15.-	COG1949	Oligoribonuclease
CNBKHAJB_03996	CDS	1059	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
CNBKHAJB_03997	CDS	894	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
CNBKHAJB_03998	CDS	381	blaI		COG3682	Transcriptional regulator BlaI
CNBKHAJB_03999	CDS	2103				hypothetical protein
CNBKHAJB_04000	CDS	1005	pldB	3.1.1.5	COG2267	Lysophospholipase L2
CNBKHAJB_04001	CDS	906	fieF		COG0053	Cation-efflux pump FieF
CNBKHAJB_04002	CDS	465	trmL_2	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
CNBKHAJB_04003	CDS	1005	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
CNBKHAJB_04004	CDS	498	secB		COG1952	Protein-export protein SecB
CNBKHAJB_04005	CDS	261	grxC_2		COG0695	Glutaredoxin 3
CNBKHAJB_04006	CDS	426	yibN		COG0607	putative protein YibN
CNBKHAJB_04007	CDS	1563	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
CNBKHAJB_04008	CDS	1236	envC		COG4942	Murein hydrolase activator EnvC
CNBKHAJB_04009	CDS	723			COG2861	putative protein
CNBKHAJB_04010	CDS	765				hypothetical protein
CNBKHAJB_04011	CDS	516	lysA_4	4.1.1.20		Diaminopimelate decarboxylase
CNBKHAJB_04012	CDS	825				hypothetical protein
CNBKHAJB_04013	CDS	1674	cndG_2	4.1.1.129		1'-carboxy-chondrochloren decarboxylase
CNBKHAJB_04014	CDS	852				hypothetical protein
CNBKHAJB_04015	CDS	852				hypothetical protein
CNBKHAJB_04016	CDS	414	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
CNBKHAJB_04017	CDS	288				hypothetical protein
CNBKHAJB_04018	CDS	768				hypothetical protein
CNBKHAJB_04019	CDS	534				hypothetical protein
CNBKHAJB_04020	CDS	879	ligA_2	6.5.1.1	COG1793	DNA ligase
CNBKHAJB_04021	CDS	900		2.1.1.-	COG1092	Ribosomal RNA large subunit methyltransferase
CNBKHAJB_04022	CDS	1425				hypothetical protein
CNBKHAJB_04023	CDS	843				hypothetical protein
CNBKHAJB_04024	CDS	477	lrp_3		COG1522	Leucine-responsive regulatory protein
CNBKHAJB_04025	CDS	105				hypothetical protein
CNBKHAJB_04026	CDS	3828	putA		COG0506	Bifunctional protein PutA
CNBKHAJB_04027	CDS	2628				hypothetical protein
CNBKHAJB_04028	CDS	303				hypothetical protein
CNBKHAJB_04029	CDS	723	rsuA_2	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
CNBKHAJB_04030	CDS	429				hypothetical protein
CNBKHAJB_04031	CDS	1239				hypothetical protein
CNBKHAJB_04032	CDS	735	yknY_5	7.6.2.-	COG1136	putative ABC transporter ATP-binding protein YknY
CNBKHAJB_04033	CDS	2493				hypothetical protein
CNBKHAJB_04034	CDS	1353	zraR_3			Transcriptional regulatory protein ZraR
CNBKHAJB_04035	CDS	1335	sasA_14	2.7.13.3		Adaptive-response sensory-kinase SasA
CNBKHAJB_04036	CDS	2289	btuB_18			Vitamin B12 transporter BtuB
CNBKHAJB_04037	CDS	1161				hypothetical protein
CNBKHAJB_04038	CDS	1110				hypothetical protein
CNBKHAJB_04039	CDS	471	rimI_3	2.3.1.266		[Ribosomal protein bS18]-alanine N-acetyltransferase
CNBKHAJB_04040	CDS	546				hypothetical protein
CNBKHAJB_04041	CDS	396				hypothetical protein
CNBKHAJB_04042	CDS	696				hypothetical protein
CNBKHAJB_04043	CDS	660				hypothetical protein
CNBKHAJB_04044	CDS	996				hypothetical protein
CNBKHAJB_04045	CDS	573		1.14.11.56	COG3555	L-proline cis-4-hydroxylase
CNBKHAJB_04046	CDS	849	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
CNBKHAJB_04047	CDS	2166	lpoA			Penicillin-binding protein activator LpoA
CNBKHAJB_04048	CDS	390				hypothetical protein
CNBKHAJB_04049	CDS	591	gmhA	5.3.1.28	COG0279	Phosphoheptose isomerase
CNBKHAJB_04050	CDS	609	dolP			Outer membrane lipoprotein DolP
CNBKHAJB_04051	CDS	480				hypothetical protein
CNBKHAJB_04052	CDS	642	sspA		COG0625	Stringent starvation protein A
CNBKHAJB_04053	CDS	759	petC		COG2857	Ammonia monooxygenase gamma subunit
CNBKHAJB_04054	CDS	1278	petB			Cytochrome b
CNBKHAJB_04055	CDS	591	petA	7.1.1.8	COG0723	Ubiquinol-cytochrome c reductase iron-sulfur subunit
CNBKHAJB_04056	CDS	393	rpsI			Small ribosomal subunit protein uS9
CNBKHAJB_04057	CDS	429	rplM			Large ribosomal subunit protein uL13
CNBKHAJB_04058	CDS	483				hypothetical protein
CNBKHAJB_04059	CDS	765				hypothetical protein
CNBKHAJB_04060	CDS	711				hypothetical protein
CNBKHAJB_04061	CDS	1701	pilB_1			Type IV pilus assembly ATPase PilB
CNBKHAJB_04062	CDS	1260	pilC			Type IV pilus assembly protein PilC
CNBKHAJB_04063	CDS	906	pilD			Prepilin leader peptidase/N-methyltransferase
CNBKHAJB_04064	CDS	609	coaE_2	2.7.1.24	COG0237	Dephospho-CoA kinase
CNBKHAJB_04065	CDS	753	zapD			Cell division protein ZapD
CNBKHAJB_04066	CDS	237	yacG			DNA gyrase inhibitor YacG
CNBKHAJB_04067	CDS	435	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
CNBKHAJB_04068	CDS	2682	secA	7.4.2.8	COG0653	Protein translocase subunit SecA
CNBKHAJB_04069	CDS	897				hypothetical protein
CNBKHAJB_04070	CDS	507				hypothetical protein
CNBKHAJB_04071	CDS	918	lpxC	3.5.1.108		UDP-3-O-acyl-N-acetylglucosamine deacetylase
CNBKHAJB_04072	CDS	1161	ftsZ_2		COG0206	Cell division protein FtsZ
CNBKHAJB_04073	CDS	1236	ftsA		COG0849	Cell division protein FtsA
CNBKHAJB_04074	CDS	861	ftsQ			Cell division protein FtsQ
CNBKHAJB_04075	CDS	954	ddl	6.3.2.4	COG1181	D-alanine--D-alanine ligase
CNBKHAJB_04076	CDS	1512	murC	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
CNBKHAJB_04077	CDS	1164	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
CNBKHAJB_04078	CDS	1314	ftsW	2.4.99.28	COG0772	putative peptidoglycan glycosyltransferase FtsW
CNBKHAJB_04079	CDS	1416	murD	6.3.2.9		UDP-N-acetylmuramoylalanine--D-glutamate ligase
CNBKHAJB_04080	CDS	1083	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
CNBKHAJB_04081	CDS	1542	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
CNBKHAJB_04082	CDS	1593	murE_2	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
CNBKHAJB_04083	CDS	1776	ftsI	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
CNBKHAJB_04084	CDS	309	ftsL		COG3116	Cell division protein FtsL
CNBKHAJB_04085	CDS	951	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
CNBKHAJB_04086	CDS	528	mraZ		COG2001	Transcriptional regulator MraZ
CNBKHAJB_04087	CDS	1809	dmdC_3	1.3.99.41	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
CNBKHAJB_04088	CDS	1083				hypothetical protein
CNBKHAJB_04089	CDS	930	dyp	1.11.1.7	COG2837	Dye-decolorizing peroxidase
CNBKHAJB_04090	CDS	921				hypothetical protein
CNBKHAJB_04091	CDS	2931	rcsC_16	2.7.13.3		Sensor histidine kinase RcsC
CNBKHAJB_04092	CDS	894				hypothetical protein
CNBKHAJB_04093	CDS	3225	acrD_3		COG0841	putative aminoglycoside efflux pump
CNBKHAJB_04094	CDS	1233	mdtA_10			Multidrug resistance protein MdtA
CNBKHAJB_04095	CDS	855	cvfB		COG2996	Conserved virulence factor B
CNBKHAJB_04096	CDS	2508				putative TonB-dependent receptor
CNBKHAJB_04097	CDS	1266				hypothetical protein
CNBKHAJB_04098	CDS	1131				hypothetical protein
CNBKHAJB_04099	CDS	1251	sbnH	4.1.1.117	COG0019	2-[(L-alanin-3-ylcarbamoyl)methyl]-2-hydroxybutanedioate decarboxylase
CNBKHAJB_04100	CDS	750	dapD_2	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
CNBKHAJB_04101	CDS	1062	rsmC	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
CNBKHAJB_04102	CDS	1632	sasA_15	2.7.13.3		Adaptive-response sensory-kinase SasA
CNBKHAJB_04103	CDS	702	arcA		COG0745	Aerobic respiration control protein ArcA
CNBKHAJB_04104	CDS	357				hypothetical protein
CNBKHAJB_04105	CDS	927	folE2	3.5.4.16	COG1469	GTP cyclohydrolase FolE2
CNBKHAJB_04106	CDS	4461	gltB_3	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
CNBKHAJB_04107	CDS	1428	gltD	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
CNBKHAJB_04108	CDS	1308				hypothetical protein
CNBKHAJB_04109	CDS	513	dhfrIII	1.5.1.3		Dihydrofolate reductase type 3
CNBKHAJB_04110	CDS	2166	apxIB			Toxin RTX-I translocation ATP-binding protein
CNBKHAJB_04111	CDS	141				hypothetical protein
CNBKHAJB_04112	CDS	282				hypothetical protein
CNBKHAJB_04113	CDS	195				hypothetical protein
CNBKHAJB_04114	CDS	1257	cvaA			Colicin V secretion protein CvaA
CNBKHAJB_04115	CDS	1164	obg	3.6.5.-		GTPase Obg
CNBKHAJB_04116	CDS	258	rpmA		COG0211	Large ribosomal subunit protein bL27
CNBKHAJB_04117	CDS	312	rplU		COG0261	Large ribosomal subunit protein bL21
CNBKHAJB_04118	CDS	984	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
CNBKHAJB_04119	CDS	936	mdh	1.1.1.37	COG0039	Malate dehydrogenase
CNBKHAJB_04120	CDS	474	argR_2		COG1438	Arginine repressor
CNBKHAJB_04121	CDS	3414	rcsC_17	2.7.13.3		Sensor histidine kinase RcsC
CNBKHAJB_04122	CDS	1452	phoH2	3.1.-.-	COG1875	Protein PhoH2
CNBKHAJB_04123	CDS	2928	rapA_3	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
CNBKHAJB_04124	CDS	684	rluA	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
CNBKHAJB_04125	CDS	972				hypothetical protein
CNBKHAJB_04126	CDS	828	djlA		COG1076	Co-chaperone protein DjlA
CNBKHAJB_04127	CDS	2316	lptD		COG1452	LPS-assembly protein LptD
CNBKHAJB_04128	CDS	1302	surA	5.2.1.8	COG0760	Chaperone SurA
CNBKHAJB_04129	CDS	981	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
CNBKHAJB_04130	CDS	906	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
CNBKHAJB_04131	CDS	858	apaH_2	3.6.1.41		Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
CNBKHAJB_04132	CDS	2019				hypothetical protein
CNBKHAJB_04133	CDS	207	cspV_2		COG1278	Cold shock protein CspV
CNBKHAJB_04134	CDS	1263	murA	2.5.1.7		UDP-N-acetylglucosamine 1-carboxyvinyltransferase
CNBKHAJB_04135	CDS	264	ibaG		COG5007	Acid stress protein IbaG
CNBKHAJB_04136	CDS	303				hypothetical protein
CNBKHAJB_04137	CDS	774				hypothetical protein
CNBKHAJB_04138	CDS	483	mlaD		COG1463	Intermembrane phospholipid transport system binding protein MlaD
CNBKHAJB_04139	CDS	777	mlaE		COG0767	Intermembrane phospholipid transport system permease protein MlaE
CNBKHAJB_04140	CDS	831	mlaF	7.6.2.-	COG1127	Intermembrane phospholipid transport system ATP-binding protein MlaF
CNBKHAJB_04141	CDS	981	yrbG		COG0530	Inner membrane protein YrbG
CNBKHAJB_04142	CDS	966	kdsD	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
CNBKHAJB_04143	CDS	546	kdsC	3.1.3.45	COG1778	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
CNBKHAJB_04144	CDS	570	lptC		COG3117	Lipopolysaccharide export system protein LptC
CNBKHAJB_04145	CDS	633	lptA			Lipopolysaccharide export system protein LptA
CNBKHAJB_04146	CDS	756	lptB_2	7.5.2.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
CNBKHAJB_04147	CDS	1518	rpoN		COG1508	RNA polymerase sigma-54 factor
CNBKHAJB_04148	CDS	288	hpf_3		COG1544	Ribosome hibernation promoting factor
CNBKHAJB_04149	CDS	453	ptsN		COG1762	Nitrogen regulatory protein
CNBKHAJB_04150	CDS	855	rapZ		COG1660	RNase adapter protein RapZ
CNBKHAJB_04151	CDS	276	ptsO		COG1925	Phosphocarrier protein NPr
CNBKHAJB_04152	CDS	1359	mgtE		COG2239	Magnesium transporter MgtE
CNBKHAJB_04153	CDS	1362	pmbA	3.4.-.-	COG0312	Metalloprotease PmbA
CNBKHAJB_04154	CDS	543	darP		COG3028	Dual-action ribosomal maturation protein DarP
CNBKHAJB_04155	CDS	1446	tldD	3.4.-.-	COG0312	Metalloprotease TldD
CNBKHAJB_04156	CDS	822	nit1	3.5.1.128	COG0388	Deaminated glutathione amidase
CNBKHAJB_04157	CDS	3972	yhdP		COG3164	Intermembrane phospholipid transporter YhdP
CNBKHAJB_04158	CDS	1458	rng	3.1.26.-	COG1530	Ribonuclease G
CNBKHAJB_04159	CDS	630	yhdE	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
CNBKHAJB_04160	CDS	480	mreD		COG2891	Rod shape-determining protein MreD
CNBKHAJB_04161	CDS	876	mreC		COG1792	Cell shape-determining protein MreC
CNBKHAJB_04162	CDS	1044	mreB		COG1077	Cell shape-determining protein MreB
CNBKHAJB_04163	CDS	4731				hypothetical protein
CNBKHAJB_04164	CDS	189				hypothetical protein
CNBKHAJB_04165	CDS	498				hypothetical protein
CNBKHAJB_04166	CDS	573				hypothetical protein
CNBKHAJB_04167	CDS	879				hypothetical protein
CNBKHAJB_04168	CDS	588				hypothetical protein
CNBKHAJB_04169	CDS	549				hypothetical protein
CNBKHAJB_04170	CDS	564				hypothetical protein
CNBKHAJB_04171	CDS	690				hypothetical protein
CNBKHAJB_04172	CDS	489				hypothetical protein
CNBKHAJB_04173	CDS	1227			COG1459	Type IV pilus assembly protein PilC
CNBKHAJB_04174	CDS	1713	pilB_2		COG2804	Type IV pilus assembly ATPase PilB
CNBKHAJB_04175	CDS	1212				hypothetical protein
CNBKHAJB_04176	CDS	903				hypothetical protein
CNBKHAJB_04177	CDS	1830	sctC_2			Type 3 secretion system secretin
CNBKHAJB_04178	CDS	375				hypothetical protein
